ID	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	Bacteria	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
HBL79_RS00085	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	18130.41	9.3853	0.55	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00085_DUF5384_family_protein_402896:403378_reverse_MW:18130	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	SP	0.274443	Non-Adhesin	ANTIGEN
HBL79_RS00090	COG3133	M	M	CELLULAR_PROCESSES_AND_SIGNALING	Cell_wall/membrane/envelope_biogenesis	SP	0	0	1	0	0	1	DEG10560888	56.707	2.9e-54	168	Essential	16851.63	10.0505	0.284	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00090_glycine_zipper_2TM_domain-containing_protein_403391:403888_reverse_MW:16851	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	LIPO	0.507009	Non-Adhesin	ANTIGEN
HBL79_RS00095	COG3962	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10270542	25.581	1.14e-36	144	Essential	72041.76	5.7913	0.536	< 8	50-100 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	iolD_3D-(3,5/4)-trihydroxycyclohexane-1,2-dione_acylhydrolase_(decyclizing)_404209:406149_forward_MW:72042	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.341049	Non-Adhesin	NON-ANTIGEN
HBL79_RS00100	COG1082	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	33725.4	5.0185	0.757	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	iolE_myo-inosose-2_dehydratase_406178:407074_forward_MW:33725	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.329649	Non-Adhesin	NON-ANTIGEN
HBL79_RS00105	COG0673	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	GLOB	1	0	0	0	0	0	DEG10570369	27.097	3.56e-31	119	Essential	36591.8	5.1431	0.574	< 8	< 50 kDa	VFG014142(gb|WP_016254248)	26.339	2.83e-14	73.6	Probable Virulence Factor	XP_015128553.2	25.175	1.02e-08	57.8	Gallus gallus	Host Homologue	iolG_inositol_2-dehydrogenase_407076:408083_forward_MW:36592	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.373593	Non-Adhesin	NON-ANTIGEN
HBL79_RS00110	COG1741	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	33397.67	5.6386	0.638	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00110_pirin_family_protein_408204:409100_reverse_MW:33398	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.493697	Non-Adhesin	ANTIGEN
HBL79_RS00115	COG0431	C	C	METABOLISM	Energy_production_and_conversion	GLOB	1	0	0	0	0	0	DEG10060282	30.833	4.64e-09	52.4	Essential	18889.47	5.915	0.337	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00115_NAD(P)H-dependent_oxidoreductase_409130:409645_reverse_MW:18889	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.546136	Non-Adhesin	NON-ANTIGEN
HBL79_RS00120	COG0046	F	F	METABOLISM	Nucleotide_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10410224	25.097	1.69e-27	119	Essential	143133.26	5.132	0.527	< 8	> 100 kDa	-	-	-	-	Non Virulence Factor	XP_040513148.1	39.05	1.52e-91	314	Gallus gallus	Host Homologue	purL_phosphoribosylformylglycinamidine_synthase_411030:414923_reverse_MW:143135	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.406384	Non-Adhesin	NON-ANTIGEN
HBL79_RS00125	COG0263	E	E	METABOLISM	Amino_acid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10270445	36.264	1.15e-66	214	Essential	40039.97	7.2025	0.366	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_025007761.1	33.566	1.03e-32	130	Gallus gallus	Host Homologue	proB_glutamate_5-kinase_415315:416421_reverse_MW:40040	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.565135	Non-Adhesin	NON-ANTIGEN
HBL79_RS00135	COG3307	M	M	CELLULAR_PROCESSES_AND_SIGNALING	Cell_wall/membrane/envelope_biogenesis	TM	7	0	6	0	12	0	DEG10050318	38.781	4.62e-68	220	Essential	47655.72	9.2997	0.225	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00135_O-antigen_ligase_family_protein_418447:419696_reverse_MW:47656	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.337593	Non-Adhesin	NON-ANTIGEN
HBL79_RS00140	COG2976	T	T	CELLULAR_PROCESSES_AND_SIGNALING	Signal_transduction_mechanisms	TM	1	0	1	0	1	0	DEG10560895	31.156	1.47e-28	105	Essential	23523.54	4.6527	0.66	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00140_YfgM_family_protein_419740:420354_reverse_MW:23523	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.665261	Non-Adhesin	NON-ANTIGEN
HBL79_RS00145	COG0124	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10390278	25.225	6.69e-25	105	Essential	47893.54	5.8446	0.575	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hisS_histidine--tRNA_ligase_420364:421635_reverse_MW:47894	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.285721	Non-Adhesin	NON-ANTIGEN
HBL79_RS00150	COG0821	I	I	METABOLISM	Lipid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10450288	31.933	4.6e-46	161	Essential	39542.49	6.8527	0.349	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	ispG_flavodoxin-dependent_(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate_synthase_421660:422752_reverse_MW:39543	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.244544	Non-Adhesin	ANTIGEN
HBL79_RS00155	COG1426	D	D	CELLULAR_PROCESSES_AND_SIGNALING	Cell_cycle_control,_cell_division,_chromosome_partitioning	TM	1	0	1	0	1	0	DEG10050128	42.02	5.27e-73	226	Essential	35883.87	6.4167	0.388	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00155_DUF4115_domain-containing_protein_422768:423719_reverse_MW:35884	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.379249	Non-Adhesin	NON-ANTIGEN
HBL79_RS00160	COG0471	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	TM	6	0	6	0	11	0	DEG10320083	34.211	8.63e-23	100	Essential	64516.02	8.8831	0.303	> 8	50-100 kDa	-	-	-	-	Non Virulence Factor	XP_425404.4	36.264	4.53e-06	51.2	Gallus gallus	Host Homologue	HBL79_RS00160_SLC13_family_permease_424090:425850_forward_MW:64517	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.415561	Non-Adhesin	NON-ANTIGEN
HBL79_RS00165	COG0558	I	I	METABOLISM	Lipid_transport_and_metabolism	TM	4	0	3	0	6	0	DEG10560389	50.254	2.77e-56	176	Essential	22030.41	9.1407	0.248	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00165_CDP-alcohol_phosphatidyltransferase_family_protein_425860:426453_forward_MW:22030	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.461602	Non-Adhesin	NON-ANTIGEN
HBL79_RS00170	COG0204	I	I	METABOLISM	Lipid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10150157	46.19	7.27e-62	191	Essential	23808.66	9.5145	0.157	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00170_1-acyl-sn-glycerol-3-phosphate_acyltransferase_426569:427198_forward_MW:23808	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.770278	Adhesin	NON-ANTIGEN
HBL79_RS00175	COG4589	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	TM	5	0	6	0	10	0	DEG10480039	42.975	3.71e-25	101	Essential	34508.42	8.3335	0.283	> 8	< 50 kDa	VFG045683(gb|WP_002294135)	40.441	1.37e-24	100	Probable Virulence Factor	XP_417669.1	27.059	2.66e-08	56.6	Gallus gallus	Host Homologue	HBL79_RS00175_phosphatidate_cytidylyltransferase_427200:428129_forward_MW:34508	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.632138	Non-Adhesin	NON-ANTIGEN
HBL79_RS00180	COG0521	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10080139	48.913	2.15e-59	182	Essential	21116.43	5.3079	0.555	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_025006604.1	34.839	3.37e-18	83.2	Gallus gallus	Host Homologue	mog_molybdopterin_adenylyltransferase_428148:428726_forward_MW:21116	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.522194	Non-Adhesin	NON-ANTIGEN
HBL79_RS00185	COG0347	TE	T	CELLULAR_PROCESSES_AND_SIGNALING	Signal_transduction_mechanisms	GLOB	1	0	0	0	0	0	DEG10400081	64.286	7.02e-47	145	Essential	12661.67	4.6674	0.851	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	glnB_nitrogen_regulatory_protein_P-II_428755:429093_forward_MW:12661	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.514717	Non-Adhesin	NON-ANTIGEN
HBL79_RS00190	COG0628	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	TM	6	0	5	0	10	0	DEG10050122	68.966	5.02e-166	466	Essential	38610.66	9.7059	0.297	> 8	< 50 kDa	VFG044071(gb|NP_214719)	27.213	1.09e-11	65.1	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00190_AI-2E_family_transporter_429096:430148_forward_MW:38611	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.326127	Non-Adhesin	NON-ANTIGEN
HBL79_RS00195	COG0820	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10570107	56.403	2.18e-143	412	Essential	43555.14	7.6807	0.343	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	HBL79_RS00195_bifunctional_tRNA_(adenosine(37)-C2)-methyltransferase_TrmG/ribosomal_RNA_large_subunit_methyltransferase_RlmN_430600:431769_forward_MW:43555	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.462009	Non-Adhesin	NON-ANTIGEN
HBL79_RS00200	COG3914	O	O	CELLULAR_PROCESSES_AND_SIGNALING	Posttranslational_modification,_protein_turnover,_chaperones	SP	0	0	1	0	0	1	DEG10050127	50.877	5.85e-51	161	Essential	20689.64	8.0752	0.426	> 8	< 50 kDa	VFG038507(gb|WP_085942042)	40.845	8.05e-27	102	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	pilW_type_IV_pilus_biogenesis/stability_protein_PilW_431803:432345_forward_MW:20689	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	OuterMembrane	Exposed	LIPO	0.820378	Adhesin	NON-ANTIGEN
HBL79_RS00205	COG0758	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	DEG10320221	38.298	1.55e-37	137	Essential	40919.75	4.7855	0.446	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	dprA_DNA-processing_protein_DprA_432490:433590_forward_MW:40920	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.457459	Non-Adhesin	NON-ANTIGEN
HBL79_RS00210	COG0742	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10290385	53.125	1.45e-62	192	Essential	22961.5	9.589	0.137	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	rsmD_16S_rRNA_(guanine(966)-N(2))-methyltransferase_RsmD_433587:434195_reverse_MW:22961	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.466219	Non-Adhesin	NON-ANTIGEN
HBL79_RS00215	COG0552	U	U	CELLULAR_PROCESSES_AND_SIGNALING	Intracellular_trafficking,_secretion,_and_vesicular_transport	GLOB	1	0	0	0	0	0	DEG10660321	30.037	4.47e-28	115	Essential	52056.42	4.2465	0.828	< 8	50-100 kDa	VFG002011(gb|WP_011946725)	27.404	1.9e-07	53.1	Probable Virulence Factor	NP_001034366.2	26.316	2.94e-26	114	Gallus gallus	Host Homologue	ftsY_signal_recognition_particle-docking_protein_FtsY_434351:435769_forward_MW:52056	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.756656	Adhesin	NON-ANTIGEN
HBL79_RS00220	COG0584	I	I	METABOLISM	Lipid_transport_and_metabolism	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	41895.01	6.5072	0.66	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	glpQ_glycerophosphodiester_phosphodiesterase_436333:437427_reverse_MW:41895	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	SP	0.801277	Adhesin	NON-ANTIGEN
HBL79_RS00225	COG2271	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	TM	7	0	6	0	12	0	DEG10470477	41.505	5.45e-116	347	Essential	53215.54	8.5618	0.261	> 8	50-100 kDa	VFG032173(gb|WP_014092267)	28.87	1.6e-45	164	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	glpT_glycerol-3-phosphate_transporter_437521:438966_reverse_MW:53216	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.419002	Non-Adhesin	NON-ANTIGEN
HBL79_RS00230	COG0578	C	C	METABOLISM	Energy_production_and_conversion	GLOB	1	0	0	0	0	0	DEG10270589	30.645	4.08e-26	112	Essential	61692.59	5.9541	0.449	< 8	50-100 kDa	VFG015920(gb|NP_250884)	36.364	1.89e-06	50.4	Probable Virulence Factor	XP_015134704.2	25.926	3.55e-06	52	Gallus gallus	Host Homologue	glpA_anaerobic_glycerol-3-phosphate_dehydrogenase_subunit_A_439243:440934_forward_MW:61693	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.385923	Non-Adhesin	NON-ANTIGEN
HBL79_RS00235	COG3075	E	E	METABOLISM	Amino_acid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10050229	63.426	0	546	Essential	47032.5	6.4496	0.358	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	glpB_glycerol-3-phosphate_dehydrogenase_subunit_GlpB_440924:442216_forward_MW:47033	GCA_020892835.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.31334	Non-Adhesin	NON-ANTIGEN
