ID	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	VF_ID	VFCID	VFcategory	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	Bacteria	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult	Host_Homologue_Result_All	Type_of_Protein2
WP_011608297	COG0227	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10550579	67.105	1.11e-33	109	Essential	8998.57	12.2333	0.946	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L28_[Pasteurellaceae]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.151484	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_011609791	COG0049	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340484	52.866	1.03e-53	166	Essential	17686.49	10.9761	0.502	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_046758009.1	33.974	8.05e-27	102	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S7_[Pasteurellaceae]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.249089	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_013745731	COG0048	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680124	66.423	9.56e-50	154	Essential	13765.16	11.2804	0.913	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_001233807.3	52.252	7.2e-30	105	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S12_[Pasteurellaceae]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.143245	Non-Adhesin	ANTIGEN	Host Homologue	Secreted
WP_017805007	COG1636	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	29080.72	7.8217	0.279	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	epoxyqueuosine_reductase_QueH_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.170936	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805010	COG0211	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10400304	70.513	1.29e-30	102	Essential	9093.41	11.2976	0.619	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_001232140.1	49.275	2.24e-14	64.7	Gallus gallus	Host Homologue	50S_ribosomal_protein_L27_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.448595	Non-Adhesin	ANTIGEN	Host Homologue	Secreted
WP_017805011	COG0697	ER	E	METABOLISM	Amino_acid_transport_and_metabolism	TM	6	0	5	0	10	0	-	-	-	-	Non Essential	33930.8	9.467	0.223	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	DMT_family_transporter_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.469671	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_017805012	COG0536	DL	D	CELLULAR_PROCESSES_AND_SIGNALING	Cell_cycle_control,_cell_division,_chromosome_partitioning	GLOB	1	0	0	0	0	0	DEG10500184	45.695	2.62e-67	216	Essential	43357.48	4.5123	0.762	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_040549303.2	33.66	1.97e-33	131	Gallus gallus	Host Homologue	Obg_family_GTPase_CgtA_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.225216	Non-Adhesin	ANTIGEN	Host Homologue	Secreted
WP_017805014	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	22900.54	6.0236	0.395	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.402818	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805016	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	14565.6	7.7236	0.196	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	LIPO	0.72266	Adhesin	NON-ANTIGEN	Non Host Homologue	Lipoprotein
WP_017805037	COG3445	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10050082	83.607	9.18e-29	108	Essential	14316.21	4.765	0.699	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	autonomous_glycyl_radical_cofactor_GrcA_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.306709	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805042	COG0205	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10680176	37.459	3.93e-69	218	Essential	35110.2	6.8134	0.464	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	NP_989554.3	30.662	4.58e-28	116	Gallus gallus	Host Homologue	6-phosphofructokinase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.298559	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_017805043	COG0105	F	F	METABOLISM	Nucleotide_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10340412	41.176	1.57e-30	106	Essential	15771.03	5.721	0.532	< 8	< 50 kDa	VFG031508(gb|WP_008255201)	48.872	5.33e-42	135	Probable Virulence Factor	VFG031508	VFC0258	Immune modulation	XP_424474.1	42.029	1.99e-27	101	Gallus gallus	Host Homologue	nucleoside-diphosphate_kinase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.374451	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_017805044	COG0260	E	E	METABOLISM	Amino_acid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10060322	29.769	1.14e-30	122	Essential	46978.97	4.6094	0.5	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_417486.2	33.333	2.15e-35	138	Gallus gallus	Host Homologue	aminopeptidase_PepB_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.645393	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_017805047	COG0642	T	T	CELLULAR_PROCESSES_AND_SIGNALING	Signal_transduction_mechanisms	TM	2	0	1	0	2	0	DEG10450080	28.185	1.31e-22	101	Essential	71283.07	5.6213	0.603	< 8	50-100 kDa	VFG015074(gb|WP_012053464)	32.482	3.46e-32	132	Probable Virulence Factor	VFG015074	VFC0301	Regulation	-	-	-	-	Gallus gallus	Non Host Homologue	ATP-binding_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.338758	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_017805051	COG2252	F	F	METABOLISM	Nucleotide_transport_and_metabolism	TM	7	0	7	0	13	0	DEG10560168	36.678	5.61e-49	172	Essential	44972.82	5.2364	0.248	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	NCS2_family_permease_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.533012	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_017805052	COG1555	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	SP	0	0	1	0	0	1	DEG10050359	52.679	6.67e-32	108	Essential	12840.71	7.0137	0.31	< 8	< 50 kDa	VFG043478(gb|WP_005752194)	45.299	6.61e-26	93.6	Probable Virulence Factor	VFG043478	VFC0001	Adherence	XP_015139311.2	36.905	1.41e-07	50.1	Gallus gallus	Host Homologue	helix-hairpin-helix_domain-containing_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	SP	0.504624	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_017805053	COG0127	F	F	METABOLISM	Nucleotide_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10220090	40.816	3.49e-34	119	Essential	21608.64	5.0029	0.593	< 8	< 50 kDa	VFG013269(gb|WP_010945211)	69.388	5.2e-98	282	Probable Virulence Factor	VFG013269	VFC0258	Immune modulation	NP_001258859.1	30.256	1.11e-13	68.2	Gallus gallus	Host Homologue	RdgB/HAM1_family_non-canonical_purine_NTP_pyrophosphatase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.461563	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_017805055	COG1854	T	T	CELLULAR_PROCESSES_AND_SIGNALING	Signal_transduction_mechanisms	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	19120.99	5.2395	0.65	< 8	< 50 kDa	VFG018246(gb|WP_011261308)	70.238	1.07e-90	261	Probable Virulence Factor	VFG018246	VFC0271	Biofilm	-	-	-	-	Gallus gallus	Non Host Homologue	S-ribosylhomocysteine_lyase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.2612	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805058	COG0110	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	GLOB	1	0	0	0	0	0	DEG10340229	39.13	1.04e-32	115	Essential	22498.88	7.7193	0.133	< 8	< 50 kDa	VFG037928(gb|YP_001083151)	29.839	4.1e-08	51.2	Probable Virulence Factor	VFG037928	VFC0258	Immune modulation	-	-	-	-	Gallus gallus	Non Host Homologue	sugar_O-acetyltransferase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.41691	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805059	COG0637	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10400337	30.108	7.71e-22	88.6	Essential	22348.9	4.7617	0.759	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_416851.3	29.508	5.5e-16	75.1	Gallus gallus	Host Homologue	beta-phosphoglucomutase_family_hydrolase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.304513	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_017805060	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	14600.96	5.431	0.892	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.427614	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805062	COG0585	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10290293	43.881	1.44e-78	244	Essential	38161.66	6.7751	0.447	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	NP_001384858.1	29.688	1.33e-08	57.8	Gallus gallus	Host Homologue	tRNA_pseudouridine(13)_synthase_TruD_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.39413	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_017805064	COG1238	PV	P	METABOLISM	Inorganic_ion_transport_and_metabolism	TM	3	0	3	0	5	0	-	-	-	-	Non Essential	21675.93	10.2247	0.353	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	YqaA_family_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.351789	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_017805065	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	6520.57	4.2645	0.092	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	LIPO	0.615197	Non-Adhesin	ANTIGEN	Non Host Homologue	Lipoprotein
WP_017805066	COG4942	D	D	CELLULAR_PROCESSES_AND_SIGNALING	Cell_cycle_control,_cell_division,_chromosome_partitioning	SP	0	0	1	0	0	1	DEG10200294	41.406	8.02e-26	107	Essential	38509.56	9.9872	0.048	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	peptidoglycan_DD-metalloendopeptidase_family_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	OuterMembrane	Exposed	LIPO	0.738588	Adhesin	ANTIGEN	Non Host Homologue	Lipoprotein
WP_017805067	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	14080.39	8.45	0.179	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	SP	0.373401	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805069	COG0221	C	C	METABOLISM	Energy_production_and_conversion	GLOB	1	0	0	0	0	0	DEG10140175	40	3.04e-27	100	Essential	19581.37	4.68	0.736	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	inorganic_diphosphatase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.302091	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805070	COG0814	E	E	METABOLISM	Amino_acid_transport_and_metabolism	TM	6	0	6	0	11	0	DEG10050162	33.086	6.71e-60	199	Essential	45314.58	8.5184	0.223	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	tryptophan_permease_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.505266	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_017805071	COG2226	HJ	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10050329	68.145	9.25e-128	361	Essential	28819.14	7.0509	0.464	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	class_I_SAM-dependent_methyltransferase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.40709	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805073	COG0040	E	E	METABOLISM	Amino_acid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10400203	37.245	1.19e-25	100	Essential	32830.85	4.8893	0.57	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	ATP_phosphoribosyltransferase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.451639	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805079	COG4804	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	39877.4	5.7052	0.646	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	PDDEXK_nuclease_domain-containing_protein_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.26592	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805080	COG0118	E	E	METABOLISM	Amino_acid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10410081	31.925	1.76e-31	113	Essential	21898.97	5.8975	0.381	< 8	< 50 kDa	VFG045298(gb|WP_010946487)	33.962	3.13e-35	123	Probable Virulence Factor	VFG045298	VFC0258	Immune modulation	-	-	-	-	Gallus gallus	Non Host Homologue	imidazole_glycerol_phosphate_synthase_subunit_HisH_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.717186	Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_017805082	COG0106	E	E	METABOLISM	Amino_acid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10280280	28.638	1.55e-25	100	Essential	27126.88	5.9305	0.567	< 8	< 50 kDa	VFG045297(gb|WP_011213307)	25.118	1.35e-16	76.6	Probable Virulence Factor	VFG045297	VFC0258	Immune modulation	-	-	-	-	Gallus gallus	Non Host Homologue	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide_isomerase_[Avibacterium_paragallinarum]	GCF_037080095.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.530461	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
