ID	Host	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host_Homologue_Result_All	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Description	Strain	Mean_Schneider_Entropy	Strain_count	Cluster_Number	Conservation	Conservation_Results	SubcellularLocalization	Bacteria	Genus	Gram_Stain	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
AgProtect_1615	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	XP_038427465.1;XP_063104723.1;NP_001352542.1;XP_045232564.2;XP_014975918.2;XP_063659186.1;XP_020933695.1	28.657;28.839;29.191;26.814;25.083;28.61;29.223	2.48e-12;4.44e-13;6.27e-17;1e-16;1.98e-16;3.61e-20;1.05e-18	75.1;77.4;91.3;90.1;89;101;95.9	Host Homologue	VFG024662(gb|WP_014384782)	49.711	8.94E-22	100	Probable Virulence Factor	COG3210	U	U	CELLULAR_PROCESSES_AND_SIGNALING	Intracellular_trafficking,_secretion,_and_vesicular_transport	GLOB	0	0	1	0	0	0	DEG10270135	41.667	1.41E-21	102	Essential	309558.31	3.9288	0.021	< 8	> 100 kDa	|tr|Q6MWX9|Q6MWX9_MYCTU_PPE_family_protein_PPE55_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE55_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1616	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	XP_038427465.1;XP_063104723.1;NP_001352542.1;XP_065378806.1;XP_028683995.1;XP_063659192.1;XP_020933695.1	27.887;28.311;29.915;26.316;28.629;29.683;28.371	1.72e-12;1.45e-12;1.42e-16;3.11e-17;2.98e-13;7.08e-22;2.77e-17	75.1;75.5;89.7;91.3;77.8;107;90.9	Host Homologue	VFG022310(gb|WP_011740945)	55.621	1.09E-23	106	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	GLOB	0	0	1	0	0	0	DEG10250661	57.034	0	1001	Essential	250345.75	3.8763	0.03	< 8	> 100 kDa	|sp|Q6MWY2|PPE54_MYCTU_Uncharacterized_PPE_family_protein_PPE54_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE54_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1617	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG029081(gb|YP_007957864)	54.264	2.53E-26	100	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	GLOB	0	0	1	0	0	0	DEG10100507	100	6.13E-92	261	Essential	13667.47	4.9565	0.358	< 8	< 50 kDa	|sp|Q6MX07|PPE50_MYCTU_Uncharacterized_PPE_family_protein_PPE50_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE50_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1618	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG023560(gb|WP_011891325)	77.66	1.3E-32	108	Probable Virulence Factor	-	-	-	-	-	GLOB	0	0	1	0	0	0	-	-	-	-	Non Essential	9842.03	6.6378	0.659	< 8	< 50 kDa	|sp|Q6MX18|ESXS_MYCTU_ESAT-6-like_protein_EsxS_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=esxS_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_162	Capra_aegagrus_hircus;Equus_ferus_caballus;Homo_sapiens;Ovis_orientalis_aries;Sus_scrofa	XP_017896312.1;XP_014585417.2;NP_852136.1;XP_027816931.1;XP_020941996.1	28.111;27.65;27.189;28.111;27.65	1.29e-12;6.8e-12;7.75e-11;2.44e-12;1.59e-11	69.7;68.2;65.9;69.7;67	Host Homologue	-	-	-	-	Non Virulence Factor	COG2812	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	DEG10470006	37.349	2.07E-24	102	Essential	49182.48	6.4977	0.479	< 8	< 50 kDa	CAH63776.1_DNA_polymerase_III_subunit_gamma/tau_[Chlamydia_abortus_S26/3]	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Chlamydia_abortus	Chlamydia	Negative	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1620	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	NP_001029554.1;XP_017909938.1;XP_027827481.1	33.773;33.509;33.509	7.69e-70;2.81e-69;2.03e-69	227;226;226	Host Homologue	VFG030990(gb|WP_011730958)	26.031	1.56E-23	100	Probable Virulence Factor	COG1960	I	I	METABOLISM	Lipid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10270173	30.707	5.29E-29	115	Essential	44051.18	6.5064	0.37	< 8	< 50 kDa	|tr|Q73TR7|Q73TR7_MYCPA_FadE3_2_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=fadE3_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1621	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	XP_015327614.1;XP_005682777.2;XP_004008734.3	51.079;51.079;51.439	2.6e-89;5.75e-90;5.54e-90	283;283;284	Host Homologue	VFG038841(gb|WP_005318273)	25.63	0.0000000844	52	Probable Virulence Factor	COG1028	I	I	METABOLISM	Lipid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10330119	31.064	4.25E-26	102	Essential	30184.17	5.9486	0.356	< 8	< 50 kDa	|tr|Q73U01|Q73U01_MYCPA_Serine/threonine_protein_kinase_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=MAP_3567_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1622	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	NP_777247.2;XP_005685292.3;XP_004010370.1	39.024;39.592;40	3.58e-51;9.4e-53;7.87e-53	169;173;174	Host Homologue	VFG007210(gb|WP_011081751)	31.321	9.06E-26	101	Probable Virulence Factor	COG1028	I	I	METABOLISM	Lipid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10280498	33.197	8.55E-26	100	Essential	26792.52	5.9214	0.401	< 8	< 50 kDa	|tr|Q73VY9|Q73VY9_MYCPA_FabG5_2_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=fabG5_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1623	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-;-	-;-;-	-;-;-	-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10590153	33.333	9.25E-47	159	Essential	31469.44	4.6049	0.929	< 8	< 50 kDa	|tr|Q73WG2|Q73WG2_MYCPA_DesA2_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=desA2_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1624	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-;-	-;-;-	-;-;-	-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	COG0288	P	P	METABOLISM	Inorganic_ion_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10580273	39.877	7.5E-39	129	Essential	17900.4	5.5651	0.699	< 8	< 50 kDa	|tr|Q73X23|Q73X23_MYCPA_Carbonate_dehydratase_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=MAP_2487c_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1625	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	NP_001029573.1;XP_017916611.1;XP_027812426.1	43.883;43.883;43.617	3.82e-90;4.1e-91;1.26e-89	278;280;278	Host Homologue	VFG029188(gb|WP_036455780)	25.779	1.27E-23	100	Probable Virulence Factor	COG1960	I	I	METABOLISM	Lipid_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10100509	28.686	7.69E-32	124	Essential	41374.76	4.9555	0.468	< 8	< 50 kDa	|tr|Q73XJ7|Q73XJ7_MYCPA_FadE19_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=fadE19_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1626	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-;-	-;-;-	-;-;-	-;-;-	Non Host Homologue	VFG029341(gb|WP_015303656)	27.749	0.000000672	50.1	Probable Virulence Factor	COG2141	HR	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	31936.46	5.8865	0.399	< 8	< 50 kDa	|tr|Q741C3|Q741C3_MYCPA_Bac_luciferase_domain-containing_protein_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=MAP_1168c_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1627	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-;-	-;-;-	-;-;-	-;-;-	Non Host Homologue	VFG042630(gb|AAK82422)	28.205	3.14E-11	61.6	Probable Virulence Factor	COG4974	L	L	INFORMATION_STORAGE_AND_PROCESSING	Replication,_recombination_and_repair	GLOB	1	0	0	0	0	0	DEG10550133	25.287	3.86E-11	62.4	Essential	39293.76	8.7188	0.24	> 8	< 50 kDa	|tr|Q745A5|Q745A5_MYCPA_Tyr_recombinase_domain-containing_protein_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=MAP_0106c_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Cytoplasmic	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1628	Bos_taurus;Capra_aegagrus_hircus;Ovis_orientalis_aries	-;-;-	-;-;-	-;-;-	-;-;-	Non Host Homologue	VFG008250(gb|WP_010908650)	44.578	2.4E-30	107	Probable Virulence Factor	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	15276.88	8.2605	0.038	> 8	< 50 kDa	|tr|Q745Q5|Q745Q5_MYCPA_Lipoprotein_lpqH_OS=Mycolicibacterium_paratuberculosis_(strain_ATCC_BAA-968_/_K-10)_OX=262316_GN=MAP_0261c_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Extracellular	Mycolicibacterium_paratuberculosis	Mycolicibacterium	Positive_with_OM	Exposed	LIPO	-	Unknown	ANTIGEN
AgProtect_1629	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG028254(gb|YP_007958468)	33.333	4.22E-25	100	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	GLOB	0	0	1	0	0	0	DEG10270330	50	5.38E-25	106	Essential	38627.03	4.2425	0.369	< 8	< 50 kDa	|tr|Q79FA9|Q79FA9_MYCTU_PPE_family_protein_PPE43_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE43_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_163	Bos_taurus;Capra_aegagrus_hircus;Homo_sapiens;Ovis_orientalis_aries	-;-;-;-	-;-;-;-	-;-;-;-	-;-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	COG0721	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	11013.57	3.9756	0.947	< 8	< 50 kDa	YP_219702.1_aspartyl/glutamyl-tRNA_amidotransferase_subunit_C_[Chlamydophila_abortus_S26/3]	Experimental_Antigens	0	95	0	1	-	Unknown	Chlamydophila_abortus	Chlamydophila	Negative	Unknown	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1630	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG024672(gb|WP_014942102)	36.872	1.64E-25	101	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	GLOB	0	0	1	0	0	0	DEG10270350	34.375	2.43E-10	58.5	Essential	21942.8	4.5436	0.777	< 8	< 50 kDa	|sp|Q79FE1|PPE41_MYCTU_PPE_family_protein_PPE41_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE41_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1631	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG031581(gb|YP_007961550)	44.253	0.000000403	52	Probable Virulence Factor	-	-	-	-	-	GLOB	0	0	1	0	0	0	DEG10270627	62.992	9.82E-29	116	Essential	30724.12	3.8507	0.023	< 8	< 50 kDa	|tr|Q79FE6|Q79FE6_MYCTU_PE-PGRS_family_protein_PE_PGRS41_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PE_PGRS41_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1632	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG022089(gb|WP_049769909)	32.443	8.62E-26	107	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	TM	1	0	1	0	1	0	DEG10270052	45.769	1.38E-49	176	Essential	48563.28	5.891	0.279	< 8	< 50 kDa	|sp|Q79FH3|PPE37_MYCTU_Uncharacterized_PPE_family_protein_PPE37_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE37_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1633	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	XP_038427463.1;XP_063104723.1;NP_001352542.1;XP_065378806.1;XP_014975918.2;XP_063659192.1;XP_020933695.1	29.583;28.226;30;28.87;26.442;28.406;26.611	9.22e-10;4.74e-12;6.23e-14;4.04e-14;1.15e-12;5.9e-18;1.13e-11	65.1;72.8;80.1;80.1;75.1;93.2;71.6	Host Homologue	VFG029054(gb|WP_041299120)	35	2.43E-22	101	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	GLOB	0	0	1	0	0	0	DEG10270135	44.015	3.57E-23	105	Essential	142943.79	3.542	0.025	< 8	> 100 kDa	|sp|Q79FI9|PPE34_MYCTU_PPE_family_protein_PPE34_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE34_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1635	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG023519(gb|WP_013828830)	83.908	2.41E-29	100	Probable Virulence Factor	-	-	-	-	-	GLOB	0	0	1	0	0	0	DEG10250685	50	7.36E-11	56.6	Essential	9583.63	3.9849	0.755	< 8	< 50 kDa	|tr|Q79FK4|Q79FK4_MYCTU_PE_family_protein_PE19_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PE19_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Periplasmic	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1636	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG021873(gb|WP_011557497)	41.765	1.28E-24	103	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	GLOB	0	0	1	0	0	0	DEG10270330	51.462	3.43E-26	109	Essential	35459.5	8.8972	0.114	> 8	< 50 kDa	|tr|Q79FK5|Q79FK5_MYCTU_PPE_family_protein_PPE27_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE27_PE=3_SV=1	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1637	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG028254(gb|YP_007958468)	35.754	5.33E-32	119	Probable Virulence Factor	COG5651	S	S	POORLY_CHARACTERIZED	Function_unknown	GLOB	0	0	1	0	0	0	DEG10270592	56.548	8.9E-23	100	Essential	38588.66	4.1835	0.109	< 8	< 50 kDa	|sp|Q79FK6|PPE26_MYCTU_PPE_family_protein_PPE26_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PPE26_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	ANTIGEN
AgProtect_1639	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;XP_005573011.3;XP_014965420.2;-;-	-;-;-;38.191;38.191;-;-	-;-;-;8.66e-06;7.53e-06;-;-	-;-;-;50.4;50.4;-;-	Host Homologue and Non Host Homologue, depending on the Host	VFG023519(gb|WP_013828830)	56.14	0.00000000106	55.8	Probable Virulence Factor	-	-	-	-	-	GLOB	0	0	1	0	0	0	DEG10270134	38.71	0.000000208	53.1	Essential	47284.99	3.6376	0.069	< 8	< 50 kDa	|tr|Q79FQ7|Q79FQ7_MYCTU_PE-PGRS_family_protein_PE_PGRS23_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PE_PGRS23_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Extracellular	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Exposed	OTHER	-	Unknown	ANTIGEN
AgProtect_164	Capra_aegagrus_hircus;Equus_ferus_caballus;Homo_sapiens;Ovis_orientalis_aries;Sus_scrofa	-;-;-;-;-	-;-;-;-;-	-;-;-;-;-	-;-;-;-;-	Non Host Homologue	VFG051428(gb|WP_011126144.1)	32.847	8.66E-23	104	Probable Virulence Factor	COG4625	S	S	POORLY_CHARACTERIZED	Function_unknown	BETA	0	7	6	12	0	1	-	-	-	-	Non Essential	89824.54	5.1857	0.165	< 8	50-100 kDa	WP_011097191.1_autotransporter_domain-containing_protein_[Chlamydia_abortus]_(polymorphic_outer_membrane_protein)	Experimental_Antigens	0	95	0	1	-	Extracellular	Chlamydia_abortus	Chlamydia	Negative	Exposed	SP	-	Unknown	ANTIGEN
AgProtect_1642	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG022333(gb|YP_177837)	45.977	3.2E-10	53.5	Probable Virulence Factor	-	-	-	-	-	GLOB	0	0	1	0	0	0	DEG10270346	57.692	1.93E-10	57	Essential	15376.3	11.9023	0.502	> 8	< 50 kDa	|sp|Q79FS8|PE09_MYCTU_PE_family_protein_PE9_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PE9_PE=1_SV=1	Experimental_Antigens	0	95	0	1	-	Periplasmic	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1643	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG023519(gb|WP_013828830)	55.844	0.0000000124	53.1	Probable Virulence Factor	-	-	-	-	-	GLOB	0	0	1	0	0	0	DEG10270026	60.526	1.68E-26	114	Essential	71698.7	3.8823	0.078	< 8	50-100 kDa	|tr|Q79FV6|Q79FV6_MYCTU_PE-PGRS_family_protein_PE_PGRS14_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=PE_PGRS14_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	CytoplasmicMembrane	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Inside the cell	OTHER	-	Unknown	ANTIGEN
AgProtect_1644	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	VFG010088(gb|WP_011856591)	34.663	1.89E-49	172	Probable Virulence Factor	COG1463	M	M	CELLULAR_PROCESSES_AND_SIGNALING	Cell_wall/membrane/envelope_biogenesis	TM	1	0	1	0	1	0	-	-	-	-	Non Essential	43488.59	4.9547	0.347	< 8	< 50 kDa	|tr|Q79FY7|Q79FY7_MYCTU_Mce-family_protein_Mce2A_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=mce2A_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	OTHER	-	Unknown	NON-ANTIGEN
AgProtect_1645	Canis_familiaris;Cavia_porcellus;Homo_sapiens;Macaca_fasicularis;Macaca_mulatta;Pan_troglodytes;Sus_scrofa	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	-;-;-;-;-;-;-	Non Host Homologue	-	-	-	-	Non Virulence Factor	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	11474.28	12.7119	0.956	> 8	< 50 kDa	|tr|Q79FZ8|Q79FZ8_MYCTU_Conserved_secreted_protein_OS=Mycobacterium_tuberculosis_(strain_ATCC_25618_/_H37Rv)_OX=83332_GN=Rv0192A_PE=4_SV=1	Experimental_Antigens	0	95	0	1	-	Unknown	Mycobacterium_tuberculosis	Mycobacterium	Positive_with_OM	Unknown	SP	-	Unknown	ANTIGEN
